Epot,Ekin,T,Etot,bulk_modulus,pressure,lattice_constant,cohesive_energy,bulk_modulus,material, structure
0.04836918673000261,0.020307226586505394,157.10377260577582,0.068676413316508,-1,-0.0005246012018008318,3.81,3.2314109802431985,-1,Al,FaceCenteredCubic
0.045503796872006105,0.021054212872256152,162.88271849365026,0.06655800974426226,-1,0.00122055719711384,3.82,3.2340009226104756,-1,Al,FaceCenteredCubic
0.0428393979371569,0.02029251182635845,156.98993409995,0.06313190976351535,-1,0.0006789575617893199,3.83,3.2371299684168893,-1,Al,FaceCenteredCubic
0.040027374227590534,0.019585037238516113,151.516664458757,0.05961241146610664,23.189301719827117,0.0006095653875641252,3.84,3.2403347222206182,23.189301719827117,Al,FaceCenteredCubic
0.03704324481734075,0.019744534856274604,152.7505935413302,0.056787779673615355,25.11645400741888,-0.0001398308637148475,3.85,3.2430796833060556,25.11645400741888,Al,FaceCenteredCubic
0.03495934227201873,0.019386889811282195,149.98372699839186,0.05434623208330093,27.1202149197093,-0.0004421852289053406,3.86,3.2456080609858198,27.1202149197093,Al,FaceCenteredCubic
0.03152198484711118,0.018582086154105885,143.75748580239593,0.05010407100121707,28.892992194948505,-0.00025612651091799,3.87,3.248950892363478,28.892992194948505,Al,FaceCenteredCubic
0.029888167898736533,0.020197749124390815,156.25681685629226,0.05008591702312735,30.73990098315892,0.0005027105289986917,3.88,3.2501637776361334,30.73990098315892,Al,FaceCenteredCubic
0.02696623598074591,0.019378716754119424,149.92049738362766,0.04634495273486533,32.22180251983323,0.0007566812959895437,3.89,3.253117463706816,32.22180251983323,Al,FaceCenteredCubic
0.0245150545225908,0.0198149908404041,153.29566555607556,0.044330045362994897,33.51777188359655,-0.00022401721260225456,3.9,3.2551453052056574,33.51777188359655,Al,FaceCenteredCubic
0.023261876321847282,0.019010352686116748,147.07070474803027,0.04227222900796403,34.55694504206647,-0.00023599035070924376,3.91,3.2571243005540937,34.55694504206647,Al,FaceCenteredCubic
0.021282800394341425,0.01881550096799222,145.56326404037483,0.040098301362333645,35.36164210040314,-0.00029319803542533665,3.92,3.2590992846379745,35.36164210040314,Al,FaceCenteredCubic
0.019591766589179844,0.018499242502916045,143.1165784838648,0.03809100909209589,35.912487680902856,3.305842718092091e-05,3.93,3.2608743948531145,35.912487680902856,Al,FaceCenteredCubic
0.017753878081929783,0.019868203060689267,153.70733381219696,0.03762208114261905,36.2477205065467,-0.0005225080188646305,3.94,3.261776644833289,36.2477205065467,Al,FaceCenteredCubic
0.016333509385811466,0.020419198505642094,157.970026342954,0.03675270789145356,36.461258986795734,0.001222406578209982,3.95,3.2627651217363054,36.461258986795734,Al,FaceCenteredCubic
0.015385069092436119,0.01970089770510465,152.41300135239368,0.035085966797540766,36.52358895436901,-0.0003629515834038415,3.96,3.2640520289426043,36.52358895436901,Al,FaceCenteredCubic
0.014784554741679695,0.01933023522866618,149.5454274291983,0.03411478997034588,36.53539115739792,-0.000843487282859209,3.97,3.2648536111661737,36.53539115739792,Al,FaceCenteredCubic
0.015161111090275464,0.01970100749077496,152.41385069254903,0.03486211858105042,36.55122280097322,-0.0007028573131701324,3.98,3.264729407599046,36.55122280097322,Al,FaceCenteredCubic
0.014947595123122307,0.019219557417815832,148.6891853641251,0.03416715254093814,36.51857547008799,0.00026309954628680814,3.99,3.265175024407199,36.51857547008799,Al,FaceCenteredCubic
0.014539923020500467,0.01921266601088054,148.63587104158657,0.03375258903138101,36.46636101541573,0.00023703426197624542,4.0,3.2653942545750088,36.46636101541573,Al,FaceCenteredCubic
0.014591252784360863,0.01906387217961412,147.48475017666476,0.033655124963974985,36.45247018319053,-0.0009882895593445185,4.01,3.2654013954060646,36.45247018319053,Al,FaceCenteredCubic
0.015755222720628587,0.019082486076647552,147.62875376250108,0.03483770879727614,36.50979498452278,-0.0016105122563688148,4.02,3.264605036488974,36.50979498452278,Al,FaceCenteredCubic
0.016551277348992394,0.01866765319968237,144.41946224775305,0.03521893054867477,36.52372110701395,0.0008722816147330421,4.03,3.264119576347933,36.52372110701395,Al,FaceCenteredCubic
0.018054554888498393,0.01899208236645256,146.92935919630116,0.037046637254950956,36.60588364485768,0.00033028250995280724,4.04,3.262783157284005,36.60588364485768,Al,FaceCenteredCubic
0.01939877704787732,0.018632470098407836,144.14727353115725,0.038031247146285155,36.70477632850387,-0.00011038957714208459,4.06,3.2611770239572793,36.70477632850387,Al,FaceCenteredCubic
0.020224571071103627,0.018822782445035508,145.61959608102893,0.03904735351613914,36.77024736454143,0.00016052553556029176,4.07,3.2599418342023134,36.77024736454143,Al,FaceCenteredCubic
0.021727269275015733,0.019999935465508926,154.72646154406323,0.04172720474052466,36.8770371463614,0.0007024270873813294,4.08,3.2578032226320586,36.8770371463614,Al,FaceCenteredCubic
0.02373937247908511,0.01971159149789764,152.49573225531077,0.043450963976982754,36.96725350120179,-0.00042851434593842706,4.09,3.2560239538909355,36.96725350120179,Al,FaceCenteredCubic
0.025159763830871127,0.019987316851321033,154.62883955291983,0.045147080682192156,37.06595140969999,0.0007284885946590454,4.1,3.2541441962474043,37.06595140969999,Al,FaceCenteredCubic
0.027899714918438605,0.019807515655069982,153.2378349206653,0.04770723057350859,37.24445470478194,-2.4212679472815416e-05,4.11,3.25179144328932,37.24445470478194,Al,FaceCenteredCubic
0.030892911718957614,0.020024154197106597,154.91382608079664,0.05091706591606421,37.495068142382586,0.0013387138856268208,4.12,3.2489024285535013,37.495068142382586,Al,FaceCenteredCubic
